impact,id,city,country,class,modelled_score,confidence,fame_pctl,country_coverage,country_rank,queued
3.184,gem:pathmos,Pathmos,Netherlands,village,5.8,modelled,0.754,0.272,119,2026-09-03
3.179,gem:brescia,Brescia,Italy,city,6.9,modelled,0.875,0.474,182,2026-09-03
3.179,gem:palmanova,Palmanova,Italy,village,7.4,modelled,0.816,0.474,114,2026-09-03
3.176,gem:reggio-nell-emilia,Reggio nell'Emilia,Italy,city,7.4,modelled,0.815,0.474,114,2026-09-03
3.172,gem:taranto,Taranto,Italy,city,7.1,modelled,0.849,0.474,161,2026-09-03
3.167,gem:keighley,Keighley,United Kingdom,city,7.3,modelled,0.745,0.417,45,2026-09-03
3.163,gem:vlissingen,Vlissingen,Netherlands,town,6.8,modelled,0.639,0.272,46,2026-09-03
3.159,gem:pforzheim,Pforzheim,Germany,city,6.9,modelled,0.659,0.305,85,2026-09-03
3.155,gem:hebden-bridge,Hebden Bridge,United Kingdom,village,6.3,modelled,0.86,0.417,166,2026-09-03
3.147,gem:burnley,Burnley,United Kingdom,city,6.1,modelled,0.886,0.417,199,2026-09-03
3.146,gem:chambery,Chambéry,France,city,7.3,modelled,0.784,0.45,86,2026-09-03
3.142,gem:bury-st-edmunds,Bury St Edmunds,United Kingdom,town,6.2,modelled,0.87,0.417,180,2026-09-03
3.142,gem:plymouth,Plymouth,United Kingdom,city,5.8,modelled,0.93,0.417,258,2026-09-03
3.142,gem:southport,Southport,United Kingdom,city,6.2,modelled,0.87,0.417,180,2026-09-03
3.142,gem:karlstad,Karlstad,Sweden,city,7.0,modelled,0.641,0.3,11,2026-09-03
3.142,gem:lelystad,Lelystad,Netherlands,city,7.2,modelled,0.599,0.272,19,2026-09-03
3.141,gem:penzance,Penzance,United Kingdom,town,6.6,modelled,0.817,0.417,128,2026-09-03
3.138,gem:liberec,Liberec,Czechia,city,7.1,modelled,0.722,0.388,16,2026-09-03
3.136,gem:reading,Reading,United Kingdom,metro,5.8,modelled,0.928,0.417,258,2026-09-03
3.129,gem:estepona,Estepona,Spain,city,7.3,modelled,0.77,0.443,99,2026-09-03
3.128,gem:southampton,Southampton,United Kingdom,city,5.6,modelled,0.959,0.417,281,2026-09-03
3.126,gem:carrara,Carrara,Italy,city,7.5,modelled,0.792,0.474,99,2026-09-03
3.115,gem:chichester,Chichester,United Kingdom,town,6.2,modelled,0.863,0.417,180,2026-09-03
3.104,gem:vasteras,Västerås,Sweden,city,6.1,modelled,0.727,0.3,38,2026-09-03
3.102,gem:gdynia,Gdynia,Poland,city,8.4,modelled,0.808,0.543,2,2026-09-03
3.098,gem:norrkoping,Norrköping,Sweden,city,6.5,modelled,0.681,0.3,23,2026-09-03
3.098,gem:great-yarmouth,Great Yarmouth,United Kingdom,city,6.3,modelled,0.844,0.417,166,2026-09-03
3.093,gem:kiel,Kiel,Germany,city,5.0,modelled,0.89,0.305,234,2026-09-03
3.093,gem:cottbus,Cottbus,Germany,city,6.1,modelled,0.73,0.305,171,2026-09-03
3.09,gem:treviso,Treviso,Italy,city,7.2,modelled,0.815,0.474,145,2026-09-03
3.089,gem:gotha,Gotha,Germany,town,7.3,modelled,0.609,0.305,53,2026-09-03
3.086,gem:stafford,Stafford,United Kingdom,city,6.9,modelled,0.768,0.417,87,2026-09-03
3.08,gem:peterborough,Peterborough,United Kingdom,city,5.9,modelled,0.896,0.417,245,2026-09-03
3.073,gem:asti,Asti,Italy,city,8.4,modelled,0.695,0.474,19,2026-09-03
3.072,gem:le-cap-d-agde,Le Cap d'Agde,France,village,6.7,modelled,0.834,0.45,167,2026-09-03
3.071,gem:xanten,Xanten,Germany,town,7.2,modelled,0.614,0.305,60,2026-09-03
