impact,id,city,country,class,modelled_score,confidence,fame_pctl,country_coverage,country_rank,queued
2.791,gem:hereford,Hereford,United Kingdom,city,5.5,modelled,0.871,0.417,290,2026-09-03
2.79,gem:mulhouse,Mulhouse,France,city,6.3,modelled,0.805,0.45,233,2026-09-03
2.776,gem:castello-de-la-plana,Castelló de la Plana,Spain,city,6.9,modelled,0.723,0.443,153,2026-09-03
2.77,gem:yeovil,Yeovil,United Kingdom,city,6.5,modelled,0.731,0.417,136,2026-09-03
2.764,gem:udine,Udine,Italy,city,6.1,modelled,0.861,0.474,287,2026-09-03
2.762,gem:poitiers,Poitiers,France,city,6.0,modelled,0.837,0.45,276,2026-09-03
2.761,gem:cambrai,Cambrai,France,town,7.5,modelled,0.669,0.45,63,2026-09-03
2.761,gem:turenne,Turenne,France,village,6.6,modelled,0.761,0.45,189,2026-09-03
2.757,gem:bishop-auckland,Bishop Auckland,United Kingdom,town,6.4,modelled,0.739,0.417,155,2026-09-03
2.756,gem:pergola,Pergola,Italy,village,6.7,modelled,0.781,0.474,211,2026-09-03
2.755,gem:berkhamsted,Berkhamsted,United Kingdom,town,6.7,modelled,0.706,0.417,109,2026-09-03
2.753,gem:jonkoping,Jönköping,Sweden,city,5.3,modelled,0.742,0.3,79,2026-09-03
2.734,gem:savona,Savona,Italy,city,7.6,modelled,0.683,0.474,82,2026-09-03
2.721,gem:saint-etienne,Saint-Étienne,France,city,6.1,modelled,0.811,0.45,261,2026-09-03
2.72,gem:albacete,Albacete,Spain,city,6.3,modelled,0.775,0.443,235,2026-09-03
2.719,gem:godalming,Godalming,United Kingdom,town,6.2,modelled,0.753,0.417,180,2026-09-03
2.717,gem:saint-nazaire,Saint-Nazaire,France,city,7.0,modelled,0.706,0.45,120,2026-09-03
2.709,gem:saint-quentin,Saint-Quentin,France,city,7.8,modelled,0.632,0.45,30,2026-09-03
2.708,gem:pardubice,Pardubice,Czechia,city,7.4,modelled,0.597,0.388,10,2026-09-03
2.705,gem:szekesfehervar,Székesfehérvár,Hungary,city,6.1,modelled,0.839,0.472,18,2026-09-03
2.704,gem:orleans,Orléans,France,city,5.6,modelled,0.878,0.45,304,2026-09-03
2.703,gem:fuengirola,Fuengirola,Spain,city,7.6,modelled,0.639,0.443,59,2026-09-03
2.702,gem:cesena,Cesena,Italy,city,7.4,modelled,0.693,0.474,114,2026-09-03
2.701,gem:spitz,Spitz,Austria,village,7.9,modelled,0.906,0.623,6,2026-09-03
2.701,gem:roquetas-de-mar,Roquetas de Mar,Spain,city,7.4,modelled,0.656,0.443,80,2026-09-03
2.698,gem:windermere,Windermere,United Kingdom,village,6.0,modelled,0.772,0.417,224,2026-09-03
2.697,gem:forte-dei-marmi,Forte dei Marmi,Italy,village,7.3,modelled,0.702,0.474,130,2026-09-03
2.695,gem:halmstad,Halmstad,Sweden,city,6.3,modelled,0.611,0.3,26,2026-09-03
2.687,gem:carmarthen,Carmarthen,United Kingdom,town,6.2,modelled,0.744,0.417,180,2026-09-03
2.685,gem:mitte,Mitte,Germany,town,7.2,modelled,0.537,0.305,60,2026-09-03
2.684,gem:pienza,Pienza,Italy,village,7.9,modelled,0.645,0.474,42,2026-09-03
2.682,gem:gorinchem,Gorinchem,Netherlands,town,7.1,modelled,0.519,0.272,27,2026-09-03
2.675,gem:salou,Salou,Spain,town,7.8,modelled,0.616,0.443,39,2026-09-03
2.675,gem:messina,Messina,Italy,city,5.7,modelled,0.891,0.474,318,2026-09-03
2.669,gem:le-mans,Le Mans,France,city,5.6,modelled,0.867,0.45,304,2026-09-03
2.668,gem:pontevedra,Pontevedra,Spain,city,7.0,modelled,0.685,0.443,140,2026-09-03
2.666,gem:oldenburg,Oldenburg,Germany,city,5.2,modelled,0.738,0.305,231,2026-09-03
2.663,gem:montepulciano,Montepulciano,Italy,village,7.0,modelled,0.723,0.474,173,2026-09-03
2.659,gem:sherborne,Sherborne,United Kingdom,town,6.8,modelled,0.671,0.417,100,2026-09-03
2.649,gem:terezin,Terezín,Czechia,village,6.3,modelled,0.687,0.388,49,2026-09-03
2.647,gem:hexham,Hexham,United Kingdom,town,6.0,modelled,0.757,0.417,224,2026-09-03
2.647,gem:taunton,Taunton,United Kingdom,city,5.7,modelled,0.797,0.417,273,2026-09-03
2.642,gem:paignton,Paignton,United Kingdom,city,7.9,modelled,0.574,0.417,9,2026-09-03
2.641,gem:arundel,Arundel,United Kingdom,village,6.1,modelled,0.743,0.417,199,2026-09-03
2.621,gem:newark-on-trent,Newark on Trent,United Kingdom,town,6.1,modelled,0.738,0.417,199,2026-09-03
2.62,gem:bautzen,Bautzen,Germany,town,6.5,modelled,0.58,0.305,125,2026-09-03
2.617,gem:la-linea-de-la-concepcion,La Línea de la Concepción,Spain,city,7.9,modelled,0.595,0.443,31,2026-09-03
2.616,gem:kleve,Kleve,Germany,town,6.3,modelled,0.597,0.305,143,2026-09-03
2.612,gem:monmouth,Monmouth,United Kingdom,town,6.3,modelled,0.712,0.417,166,2026-09-03
2.608,gem:villena,Villena,Spain,town,6.6,modelled,0.71,0.443,193,2026-09-03
2.594,gem:rottweil,Rottweil,Germany,town,5.4,modelled,0.691,0.305,227,2026-09-03
2.585,gem:miskolc,Miskolc,Hungary,city,7.0,modelled,0.699,0.472,4,2026-09-03
2.582,gem:newton-abbot,Newton Abbot,United Kingdom,town,7.0,modelled,0.633,0.417,72,2026-09-03
2.581,gem:compiegne,Compiègne,France,town,6.7,modelled,0.7,0.45,167,2026-09-03
2.566,gem:apsley,Apsley,United Kingdom,village,6.4,modelled,0.688,0.417,155,2026-09-03
2.559,gem:jaen,Jaén,Spain,city,6.9,modelled,0.666,0.443,153,2026-09-03
2.553,gem:hagen,Hagen,Germany,city,5.8,modelled,0.633,0.305,205,2026-09-03
2.548,gem:torgau,Torgau,Germany,town,6.8,modelled,0.539,0.305,97,2026-09-03
2.545,gem:villajoyosa,Villajoyosa,Spain,town,7.6,modelled,0.602,0.443,59,2026-09-03
2.542,gem:saintes-maries-de-la-mer,Saintes-Maries-de-la-Mer,France,village,7.9,modelled,0.585,0.45,21,2026-09-03
2.541,gem:vilanova-i-la-geltru,Vilanova i la Geltrú,Spain,city,7.8,modelled,0.585,0.443,39,2026-09-03
2.535,gem:evesham,Evesham,United Kingdom,town,6.5,modelled,0.669,0.417,136,2026-09-03
2.534,gem:den-helder,Den Helder,Netherlands,city,7.1,modelled,0.49,0.272,27,2026-09-03
2.534,gem:mijas,Mijas,Spain,city,6.8,modelled,0.669,0.443,165,2026-09-03
2.531,gem:heerlen,Heerlen,Netherlands,city,6.7,modelled,0.519,0.272,55,2026-09-03
2.515,gem:chepstow,Chepstow,United Kingdom,town,6.8,modelled,0.635,0.417,100,2026-09-03
2.514,gem:brilon,Brilon,Germany,town,6.6,modelled,0.548,0.305,117,2026-09-03
