country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
AL,AL033,Gjirokastër,mountain,,4,4,Q1337784,Nemërçka,floor_pool,score_4.7_below_5.0
AL,AL033,Gjirokastër,mountain,,4,4,Q8528315,Papingu,floor_pool,score_4.3_below_5.0
AL,AL033,Gjirokastër,mountain,,4,4,Q6921920,Mali i Lunxhërisë,floor_pool,score_4.3_below_5.0
AL,AL033,Gjirokastër,mountain,,4,4,Q8536495,Këndrevica,photo_gate,imgs_0
ES,ES513,Lleida,mountain,,5,4,Q948850,Pic de Médécourbe,floor_pool,score_4.7_below_5.0
ES,ES513,Lleida,mountain,,5,4,Q6906641,Monturull,floor_pool,score_4.7_below_5.0
ES,ES513,Lleida,mountain,,5,4,Q2209719,Pic de Sanfonts,floor_pool,score_4.6_below_5.0
ES,ES513,Lleida,mountain,,5,4,Q11941543,Tossa Plana de Lles,floor_pool,score_4.4_below_5.0
AT,AT313,Mühlviertel,mountain,,3,3,Q2523130,Viehberg,photo_gate,imgs_2
AT,AT313,Mühlviertel,mountain,,3,3,Q2345976,Sternstein,photo_gate,imgs_6
ES,ES411,Ávila,mountain,,4,3,Q5747046,Canchal de la Ceja,floor_pool,score_4.6_below_5.0
ES,ES411,Ávila,mountain,,4,3,Q3612390,La Mira,floor_pool,score_4.3_below_5.0
ES,ES411,Ávila,mountain,,4,3,Q8355779,Cerro de Gorría,score_gate,score_2.9_below_5.0
ES,ES512,Girona,mountain,,3,3,Q4850026,Balandrau,floor_pool,score_4.8_below_5.0
ES,ES512,Girona,mountain,,3,3,Q968445,Puigpedrós,floor_pool,score_4.6_below_5.0
HR,HR033,Zadarska županija,mountain,,4,3,Q25286840,Sveti Vid,photo_gate,imgs_0
HR,HR033,Zadarska županija,mountain,,4,3,Q26224723,Crni vrh,floor_pool,score_4.4_below_5.0
HR,HR033,Zadarska županija,mountain,,4,3,Q26224659,Anića kuk,floor_pool,score_4.1_below_5.0
HR,HR032,Ličko-senjska županija,mountain,,4,3,Q3359206,Ozeblin,photo_gate,imgs_0
HR,HR032,Ličko-senjska županija,mountain,,4,3,Q15443284,Rožanski kukovi,floor_pool,score_4.7_below_5.0
HR,HR032,Ličko-senjska županija,mountain,,4,3,Q12643110,Sveto brdo,floor_pool,score_4.6_below_5.0
