country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q1782052,Suvasvesi,photo_gate,imgs_3
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q890532,Kallavesi,photo_gate,imgs_3
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q7362310,Unnukka,photo_gate,imgs_3
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q1635506,Juurusvesi–Akonvesi,photo_gate,imgs_3
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q7230318,Porovesi,photo_gate,imgs_5
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q6721124,Maaninkajärvi,photo_gate,imgs_4
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q1669222,Onkivesi,photo_gate,imgs_2
FI,FI1DB,Pohjois-Savo,lake,,40,40,wd:Q2118703,Lake Syväri,photo_gate,imgs_2
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773395,Aksdalsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,wd:Q5338772,Edlandsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q3888951,Holmavatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:w4369613,Stokkalandsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1777231,Frøylandsvatnet,photo_gate,imgs_2
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773045,Holmevatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:w228665636,Luravika,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1772912,Frøylandsvatnet,photo_gate,imgs_2
NO,NO0A1,Rogaland,lake,,40,40,wd:Q11231391,Stora Stokkavatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773469,Nilsebuvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:r1770617,Lutsivatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:r18296041,Horvetjørna,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:r18350145,Bråsteinvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:r18296040,Eikelivatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:w34031307,Giskehallen,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1785536,Suldalsvatnet,photo_gate,imgs_3
NO,NO0A1,Rogaland,lake,,40,40,wd:Q4590099,Tysdalsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,osm:w1204485488,Gardsvågen,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q11231406,Breiavatnet,floor_pool,score_4.4_below_5.4
NO,NO0A1,Rogaland,lake,,40,40,wd:Q6515187,Orrevatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,osm:r18300278,Tengesdalsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773300,Hovsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q10953788,Mosvatnet,floor_pool,score_4.1_below_5.4
NO,NO0A1,Rogaland,lake,,40,40,wd:Q11230173,Lyngsvatnet,photo_gate,imgs_3
NO,NO0A1,Rogaland,lake,,40,40,wd:Q4589408,Vostervatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q6515193,Ørsdalsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773058,Byrkjelandsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q6548923,Limavatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q5457680,Flassavatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q6513551,Oltedalsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,wd:Q4590059,Nodlandsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q6515176,Øvre Tysdalsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773415,Austrumdalsvatnet,photo_gate,imgs_1
NO,NO0A1,Rogaland,lake,,40,40,wd:Q840187,Eiavatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773368,Grøsfjellvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q739939,Teksevatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q4589896,Stakkastadvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q4588893,Vatsvatnet,photo_gate,imgs_0
NO,NO0A1,Rogaland,lake,,40,40,wd:Q1773605,Hofreistæ,photo_gate,imgs_0
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q1771514,Balvatnet,photo_gate,imgs_2
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q4591249,Raudvatnet,photo_gate,imgs_2
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q307594,Överuman,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q1772671,Gresvatnet,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q1352298,Røssvatnet,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q6515124,Vuolep Sårjåsjávrre,floor_pool,score_4.8_below_5.4
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q1338006,Lossivatnet,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q4592003,Storsvenningvatnet,photo_gate,imgs_0
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q5096953,Storglomvatnet,floor_pool,score_4.5_below_5.4
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q1773574,Bleiksvatnet,photo_gate,imgs_0
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q4562843,Storakersvatnet,photo_gate,imgs_0
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q2561882,Låmivatnet,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q6515665,Nedre Fiplingvatnet,photo_gate,imgs_1
NO,NO071,Nordland/Nordlánnda,lake,,40,40,wd:Q4590467,Litlverivatnet,photo_gate,imgs_2
