country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
IS,IS002,Landsbyggð,lake,,15,9,wd:Q114736535,Landmannalaugar hut,photo_gate,imgs_3
IS,IS002,Landsbyggð,lake,,15,9,wd:Q1123643,Frostastaðavatn,floor_pool,score_5.3_below_5.4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q283536,Langisjór,photo_gate,imgs_4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q574165,Kleifarvatn,floor_pool,score_5.2_below_5.4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q1344692,Lagarfljót,floor_pool,score_5.2_below_5.4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q1521372,Hvalvatn,photo_gate,imgs_1
IS,IS002,Landsbyggð,lake,,15,9,wd:Q1429607,Hvítárvatn,floor_pool,score_5.0_below_5.4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q2536202,Víti Askja,floor_pool,score_4.9_below_5.4
IS,IS002,Landsbyggð,lake,,15,9,wd:Q943482,Grænalón,photo_gate,imgs_1
IE,IE042,West,lake,,9,8,wd:Q848917,Lough Corrib,photo_gate,imgs_2
IE,IE042,West,lake,,9,8,wd:Q949985,Lough Conn,photo_gate,imgs_3
IE,IE042,West,lake,,9,8,wd:Q2746303,Lough Key,photo_gate,imgs_3
IE,IE042,West,lake,,9,8,wd:Q1768048,Lough Mask,photo_gate,imgs_3
IE,IE042,West,lake,,9,8,wd:Q3036874,Doo Lough,floor_pool,score_4.3_below_5.4
IE,IE042,West,lake,,9,8,wd:Q24196540,Lough Inagh,floor_pool,score_4.1_below_5.4
IE,IE042,West,lake,,9,8,wd:Q33284347,Lough Nafooey,photo_gate,imgs_1
MK,MK006,Pološki,lake,,8,8,osm:w1211220683,Малокорапско Езеро,photo_gate,imgs_0
MK,MK006,Pološki,lake,,8,8,osm:w966141862,Големокорапско Езеро,photo_gate,imgs_0
MK,MK006,Pološki,lake,,8,8,osm:w1244557875,Изгревно Езеро,photo_gate,imgs_0
MK,MK006,Pološki,lake,,8,8,wd:Q12273457,Bogovinje Lake,photo_gate,imgs_3
MK,MK006,Pološki,lake,,8,8,wd:Q1785612,Mavrovo Lake,photo_gate,imgs_2
MK,MK006,Pološki,lake,,8,8,wd:Q12905767,Karanikola Lake,photo_gate,imgs_5
MK,MK006,Pološki,lake,,8,8,wd:Q20934164,Големо Езеро,photo_gate,imgs_3
MK,MK006,Pološki,lake,,8,8,wd:Q20934163,Мало Езеро,photo_gate,imgs_3
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q16451164,Gavys,photo_gate,imgs_3
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q597311,Drūkšiai,photo_gate,imgs_3
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q2043441,Linkmenas,photo_gate,imgs_2
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q1187891,Tauragnas,photo_gate,imgs_5
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q2569121,Visaginas,photo_gate,imgs_3
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q9163296,Alaušas,photo_gate,imgs_3
LT,LT029,Utenos apskritis,lake,,9,7,wd:Q1093664,Luodis,photo_gate,imgs_3
IE,IE041,Border,lake,,10,7,wd:Q3776146,Lough Melvin,photo_gate,imgs_2
IE,IE041,Border,lake,,10,7,wd:Q1366974,Lough Allen,photo_gate,imgs_2
