country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
ES,ES513,Lleida,mountain,,5,5,Q6906641,Monturull,score_gate,score_4.7_below_5.0
ES,ES513,Lleida,mountain,,5,5,Q2209719,Pic de Sanfonts,score_gate,score_4.3_below_5.0
ES,ES513,Lleida,mountain,,5,5,Q948850,Pic de Médécourbe,score_gate,score_4.2_below_5.0
ES,ES513,Lleida,mountain,,5,5,Q11941543,Tossa Plana de Lles,score_gate,score_4.1_below_5.0
ES,ES513,Lleida,mountain,,5,5,Q17483009,Pic del Sirvent,score_gate,score_4.1_below_5.0
IE,IE053,South-West ,mountain,,7,5,Q503368,Carrauntoohil,photo_gate,imgs_6
IE,IE053,South-West ,mountain,,7,5,Q3777099,Torc Mountain,score_gate,score_4.8_below_5.0
IE,IE053,South-West ,mountain,,7,5,Q22030601,Mount Eagle (Ireland),score_gate,score_4.6_below_5.0
IE,IE053,South-West ,mountain,,7,5,Q429937,Baurtregaum,score_gate,score_4.3_below_5.0
IE,IE053,South-West ,mountain,,7,5,Q4879913,Beenkeragh,score_gate,score_4.3_below_5.0
SE,SE332,Norrbottens län,mountain,,8,5,Q596485,Sarektjåkkå,photo_gate,imgs_4
SE,SE332,Norrbottens län,mountain,,8,5,Q728259,Kaskasatjåkka,photo_gate,imgs_2
SE,SE332,Norrbottens län,mountain,,8,5,Q654126,Kaskasapakte,photo_gate,imgs_0
SE,SE332,Norrbottens län,mountain,,8,5,Q3433778,Singitjåkka,photo_gate,imgs_1
SE,SE332,Norrbottens län,mountain,,8,5,Q1255595,Drakryggen,photo_gate,imgs_2
AL,AL033,Gjirokastër,mountain,,4,4,Q8528315,Papingu,photo_gate,imgs_1
AL,AL033,Gjirokastër,mountain,,4,4,Q6921920,Mali i Lunxhërisë,score_gate,score_4.2_below_5.0
AL,AL033,Gjirokastër,mountain,,4,4,Q1337784,Nemërçka,score_gate,score_4.1_below_5.0
AL,AL033,Gjirokastër,mountain,,4,4,Q8536495,Këndrevica,photo_gate,imgs_0
HR,HR033,Zadarska županija,mountain,,4,4,Q3003109,Crnopac,photo_gate,imgs_3
HR,HR033,Zadarska županija,mountain,,4,4,Q26224723,Crni vrh,photo_gate,imgs_2
HR,HR033,Zadarska županija,mountain,,4,4,Q25286840,Sveti Vid,photo_gate,imgs_0
HR,HR033,Zadarska županija,mountain,,4,4,Q26224659,Anića kuk,score_gate,score_4.2_below_5.0
AT,AT313,Mühlviertel,mountain,,3,3,Q2523130,Viehberg,photo_gate,imgs_2
AT,AT313,Mühlviertel,mountain,,3,3,Q2345976,Sternstein,photo_gate,imgs_6
BG,BG424,Smolyan,mountain,,3,3,Q12294108,Snezhanka (Peak),photo_gate,imgs_3
