country,nuts3,region_name,layer,published,quota,deficit,candidate_id,candidate_name,rejected_by,rejected_detail
GR,EL432,Lasithi,trail,,18,16,,,,
AD,AD-AD-05,Ordino,trail,,17,16,,,,
AD,AD-AD-04,La Massana,trail,,17,16,,,,
AD,AD-AD-08,Escaldes-Engordany,trail,,18,16,,,,
UA,UA-74538382B22557738225705,Rakhiv,trail,,14,14,,,,
CH,CH064,Obwalden,trail,,18,13,,,,
GR,EL644,Fthiotida,trail,,14,13,,,,
GR,EL645,Fokida,trail,,14,13,,,,
GR,EL632,Achaia,trail,,13,13,,,,
GR,EL411,"Lesvos, Limnos",trail,,13,13,,,,
UA,UA-74538382B77535249747568,Uzhhorod,trail,,13,13,,,,
DE,DEB3A,"Zweibrücken, Kreisfreie Stadt",trail,,12,12,,,,
DE,DEF01,"Flensburg, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE936,Osterholz,trail,,12,12,,,,
DE,DEE0C,Salzlandkreis,trail,,12,12,,,,
DE,DE941,"Delmenhorst, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE943,"Oldenburg (Oldenburg), Kreisfreie Stadt",trail,,12,12,,,,
DE,DE945,"Wilhelmshaven, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE91A,Peine,trail,,12,12,,,,
DE,DEA1A,"Wuppertal, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE804,"Schwerin, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE211,"Ingolstadt, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE502,"Bremerhaven, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE713,"Offenbach am Main, Kreisfreie Stadt",trail,,12,12,,,,
DE,DE223,"Straubing, Kreisfreie Stadt",trail,,12,12,,,,
GR,EL613,"Magnisia, Sporades",trail,,13,12,,,,
GR,EL621,Zakynthos,trail,,12,12,,,,
DE,DEG0S,"Suhl, Kreisfreie Stadt",trail,,13,12,,,,
DE,DEF04,"Neumünster, Kreisfreie Stadt",trail,,12,12,,,,
GR,EL433,Rethymni,trail,,13,12,,,,
DE,DEG05,"Weimar, Kreisfreie Stadt",trail,,12,12,,,,
GR,EL302,Dytikos Tomeas Athinon,trail,,12,12,,,,
NO,NO0B1,Jan Mayen,trail,,12,12,,,,
GB,TLD36,Greater Manchester North West,trail,,12,12,,,,
GB,TLD45,Mid Lancashire,trail,,12,12,,,,
GB,TLE11,"Kingston upon Hull, City of",trail,,12,12,,,,
GB,TLE34,Rotherham,trail,,12,12,,,,
GB,TLE35,Doncaster,trail,,12,12,,,,
GB,TLE41,Bradford,trail,,13,12,,,,
GB,TLE45,Wakefield,trail,,12,12,,,,
GB,TLF11,Derby,trail,,12,12,,,,
GB,TLF21,Leicester,trail,,12,12,,,,
GB,TLG21,Telford and Wrekin,trail,,12,12,,,,
GB,TLG23,Stoke-on-Trent,trail,,12,12,,,,
GB,TLH21,Luton,trail,,12,12,,,,
GB,TLH24,Bedford,trail,,12,12,,,,
GB,TLI33,Kensington & Chelsea and Hammersmith & Fulham,trail,,12,12,,,,
GB,TLI34,Wandsworth,trail,,12,12,,,,
GB,TLI43,Haringey and Islington,trail,,12,12,,,,
GB,TLI45,Lambeth,trail,,12,12,,,,
GB,TLI52,Barking & Dagenham and Havering,trail,,12,12,,,,
GB,TLI72,Brent,trail,,12,12,,,,
GB,TLJ21,Brighton and Hove,trail,,12,12,,,,
GB,TLJ31,Portsmouth,trail,,12,12,,,,
GB,TLK41,Plymouth,trail,,12,12,,,,
GB,TLK71,Swindon,trail,,12,12,,,,
GB,TLL53,Gwent Valleys,trail,,13,12,,,,
UA,UA-74538382B60058274039512,Sloviansk,trail,,12,12,,,,
UA,UA-74538382B32195622732164,Krasnokutsk,trail,,12,12,,,,
UA,UA-74538382B60018374136133,Kamianka,trail,,12,12,,,,
UA,UA-74538382B2815970127948,Sosnytsia,trail,,12,12,,,,
UA,UA-74538382B13559545331448,Snovsk,trail,,12,12,,,,
UA,UA-74538382B60890943260132,Kyiv,trail,,12,12,,,,
UA,UA-74538382B73944053970257,Kyiv-Sviatoshyn,trail,,12,12,,,,
UA,UA-74538382B40940873671576,Yemilchyne,trail,,12,12,,,,
UA,UA-74538382B69405527085585,Luhyny,trail,,12,12,,,,
UA,UA-74538382B52142389762962,Olevsk,trail,,12,12,,,,
UA,UA-74538382B49148069101278,Vynohradiv,trail,,12,12,,,,
UA,UA-74538382B96313823976943,Berehove,trail,,12,12,,,,
UA,UA-74538382B46145703776809,Mukachevo	,trail,,12,12,,,,
UA,UA-74538382B86462977342473,Korets,trail,,12,12,,,,
UA,UA-74538382B92334683682599,Zdolbuniv,trail,,12,12,,,,
UA,UA-74538382B57022409328323,Dubno,trail,,12,12,,,,
UA,UA-74538382B1361262622940,Radyvyliv,trail,,12,12,,,,
UA,UA-74538382B88282912225835,Ternopil,trail,,12,12,,,,
UA,UA-74538382B39410931329464,Kivertsi,trail,,12,12,,,,
UA,UA-74538382B5714887404176,Shatsk,trail,,12,12,,,,
UA,UA-74538382B56277130334747,Brody,trail,,12,12,,,,
UA,UA-74538382B27097146636711,Zolochiv,trail,,12,12,,,,
CH,CH065,Nidwalden,trail,,15,11,,,,
CH,CH066,Zug,trail,,13,11,,,,
DE,DE129,"Pforzheim, Stadtkreis",trail,,12,11,,,,
DE,DEE03,"Magdeburg, Kreisfreie Stadt",trail,,12,11,,,,
DE,DEB39,"Worms, Kreisfreie Stadt",trail,,12,11,,,,
DE,DEB3I,Rhein-Pfalz-Kreis,trail,,12,11,,,,
DE,DE942,"Emden, Kreisfreie Stadt",trail,,11,11,,,,
DE,DE911,"Braunschweig, Kreisfreie Stadt",trail,,12,11,,,,
DE,DE912,"Salzgitter, Kreisfreie Stadt",trail,,12,11,,,,
DE,DE94G,Wesermarsch,trail,,12,11,,,,
DE,DEA16,"Mülheim an der Ruhr, Kreisfreie Stadt",trail,,12,11,,,,
DE,DEA17,"Oberhausen, Kreisfreie Stadt",trail,,12,11,,,,
